trade_date,total_pnl,mktv,cash_remained,trade_value,booksize
2019-01-02,0.0,0.0,1000000.0,0.0,1000000.0
2019-01-03,0.0,0.0,1000000.0,0.0,1000000.0
2019-01-04,0.0,0.0,1000000.0,0.0,1000000.0
2019-01-07,0.0,0.0,1000000.0,0.0,1000000.0
2019-01-08,0.0,0.0,1000000.0,0.0,1000000.0
2019-01-09,0.0,0.0,1000000.0,0.0,1000000.0
2019-01-10,0.0,0.0,1000000.0,0.0,1000000.0
2019-01-11,0.0,0.0,1000000.0,0.0,1000000.0
2019-01-14,0.0,0.0,1000000.0,0.0,1000000.0
2019-01-15,0.0,0.0,1000000.0,0.0,1000000.0
2019-01-16,0.0,0.0,1000000.0,0.0,1000000.0
2019-01-17,0.0,0.0,1000000.0,0.0,1000000.0
2019-01-18,0.0,0.0,1000000.0,0.0,1000000.0
2019-01-21,0.0,0.0,1000000.0,0.0,1000000.0
2019-01-22,0.0,0.0,1000000.0,0.0,1000000.0
2019-01-23,0.0,0.0,1000000.0,0.0,1000000.0
2019-01-24,0.0,0.0,1000000.0,0.0,1000000.0
2019-01-25,0.0,0.0,1000000.0,0.0,1000000.0
2019-01-28,0.0,0.0,1000000.0,0.0,1000000.0
2019-01-29,0.0,0.0,1000000.0,0.0,1000000.0
2019-01-30,0.0,0.0,1000000.0,0.0,1000000.0
2019-01-31,0.0,996052.0,1955.8960000000661,996052.0,998007.8960000001
2019-02-01,4035.0000000000023,1000087.0,1955.8960000000661,0.0,1002042.8960000001
2019-02-11,5709.999999999996,1001762.0,1955.8960000000661,0.0,1003717.8960000001
2019-02-12,10016.000000000025,1006068.0,1955.8960000000661,0.0,1008023.8960000001
2019-02-13,31659.000000000007,1027711.0,1955.8960000000661,0.0,1029666.8960000001
2019-02-14,24186.000000000022,1020238.0,1955.8960000000661,0.0,1022193.8960000001
2019-02-15,6182.000000000018,1002234.0,1955.8960000000661,0.0,1004189.8960000001
2019-02-18,24660.000000000004,1020712.0,1955.8960000000661,0.0,1022667.8960000001
2019-02-19,20417.999999999996,1016470.0,1955.8960000000661,0.0,1018425.8960000001
2019-02-20,29147.0,1025199.0,1955.8960000000661,0.0,1027154.8960000001
2019-02-21,23012.999999999993,1019065.0,1955.8960000000661,0.0,1021020.8960000001
2019-02-22,39198.00000000001,1035250.0,1955.8960000000661,0.0,1037205.8960000001
2019-02-25,103605.00000000003,1099657.0,1955.8960000000661,0.0,1101612.8960000002
2019-02-26,86276.00000000003,1082328.0,1955.8960000000661,0.0,1084283.8960000002
2019-02-27,109146.0,1105198.0,1955.8960000000661,0.0,1107153.8960000002
